Decentraland,MANA,https://coinmarketcap.com/currencies/decentraland/,0.64
Aave,AAVE,https://coinmarketcap.com/currencies/aave/,83.34
The Sandbox,SAND,https://coinmarketcap.com/currencies/the-sandbox/,0.78
Aptos,APT,https://coinmarketcap.com/currencies/aptos/,8.90
EOS,EOS,https://coinmarketcap.com/currencies/eos/,1.12
Theta Network,THETA,https://coinmarketcap.com/currencies/theta-network/,1.10
KuCoin Token,KCS,https://coinmarketcap.com/currencies/kucoin-token/,9.88
OKB,OKB,https://coinmarketcap.com/currencies/okb/,16.11
Pax Dollar,USDP,https://coinmarketcap.com/currencies/paxos-standard/,1.00
Maker,MKR,https://coinmarketcap.com/currencies/maker/,955.41
BitDAO,BIT,https://coinmarketcap.com/currencies/bitdao/,0.45
Bitcoin SV,BSV,https://coinmarketcap.com/currencies/bitcoin-sv/,48.54
Axie Infinity,AXS,https://coinmarketcap.com/currencies/axie-infinity/,9.18
TrueUSD,TUSD,https://coinmarketcap.com/currencies/trueusd/,1.00
Zcash,ZEC,https://coinmarketcap.com/currencies/zcash/,54.39
BitTorrent-New,BTT,https://coinmarketcap.com/currencies/bittorrent-new/,0.00
eCash,XEC,https://coinmarketcap.com/currencies/ecash/,0.00
Synthetix,SNX,https://coinmarketcap.com/currencies/synthetix/,2.41
USDD,USDD,https://coinmarketcap.com/currencies/usdd/,1.00
EthereumPoW,ETHW,https://coinmarketcap.com/currencies/ethereum-pow/,6.73
IOTA,MIOTA,https://coinmarketcap.com/currencies/iota/,0.26
Neutrino USD,USDN,https://coinmarketcap.com/currencies/neutrino-usd/,1.00
PancakeSwap,CAKE,https://coinmarketcap.com/currencies/pancakeswap/,4.52
Klaytn,KLAY,https://coinmarketcap.com/currencies/klaytn/,0.20
Neo,NEO,https://coinmarketcap.com/currencies/neo/,8.52
The Graph,GRT,https://coinmarketcap.com/currencies/the-graph/,0.08
Fantom,FTM,https://coinmarketcap.com/currencies/fantom/,0.22
Nexo,NEXO,https://coinmarketcap.com/currencies/nexo/,0.99
PAX Gold,PAXG,https://coinmarketcap.com/currencies/pax-gold/,1662.56
Helium,HNT,https://coinmarketcap.com/currencies/helium/,4.16
Lido DAO,LDO,https://coinmarketcap.com/currencies/lido-dao/,1.68
THORChain,RUNE,https://coinmarketcap.com/currencies/thorchain/,1.54
Casper,CSPR,https://coinmarketcap.com/currencies/casper/,0.05
Curve DAO Token,CRV,https://coinmarketcap.com/currencies/curve-dao-token/,0.94
Kava,KAVA,https://coinmarketcap.com/currencies/kava/,1.61
GateToken,GT,https://coinmarketcap.com/currencies/gatetoken/,4.48
Trust Wallet Token,TWT,https://coinmarketcap.com/currencies/trust-wallet-token/,1.16
Dash,DASH,https://coinmarketcap.com/currencies/dash/,42.27
Enjin Coin,ENJ,https://coinmarketcap.com/currencies/enjin-coin/,0.44
Basic Attention Token,BAT,https://coinmarketcap.com/currencies/basic-attention-token/,0.29
Stacks,STX,https://coinmarketcap.com/currencies/stacks/,0.32
Fei USD,FEI,https://coinmarketcap.com/currencies/fei-usd/,0.99
Mina,MINA,https://coinmarketcap.com/currencies/mina/,0.57
Zilliqa,ZIL,https://coinmarketcap.com/currencies/zilliqa/,0.03
Decred,DCR,https://coinmarketcap.com/currencies/decred/,27.65
Convex Finance,CVX,https://coinmarketcap.com/currencies/convex-finance/,5.70
XDC Network,XDC,https://coinmarketcap.com/currencies/xinfin/,0.03
Compound,COMP,https://coinmarketcap.com/currencies/compound/,52.54
TerraClassicUSD,USTC,https://coinmarketcap.com/currencies/terrausd/,0.04
1inch Network,1INCH,https://coinmarketcap.com/currencies/1inch/,0.60
Ravencoin,RVN,https://coinmarketcap.com/currencies/ravencoin/,0.03
Ethereum Name Service,ENS,https://coinmarketcap.com/currencies/ethereum-name-service/,18.14
Waves,WAVES,https://coinmarketcap.com/currencies/waves/,3.30
Arweave,AR,https://coinmarketcap.com/currencies/arweave/,10.82
NEM,XEM,https://coinmarketcap.com/currencies/nem/,0.04
Loopring,LRC,https://coinmarketcap.com/currencies/loopring/,0.26
Holo,HOT,https://coinmarketcap.com/currencies/holo/,0.001957
Celo,CELO,https://coinmarketcap.com/currencies/celo/,0.7232
Gemini Dollar,GUSD,https://coinmarketcap.com/currencies/gemini-dollar/,1.01
Gnosis,GNO,https://coinmarketcap.com/currencies/gnosis-gno/,125.55
Terra,LUNA,https://coinmarketcap.com/currencies/terra-luna-v2/,2.47
Bitcoin Gold,BTG,https://coinmarketcap.com/currencies/bitcoin-gold/,17.72
Oasis Network,ROSE,https://coinmarketcap.com/currencies/oasis-network/,0.06125
yearn.finance,YFI,https://coinmarketcap.com/currencies/yearn-finance/,8228.28
Kusama,KSM,https://coinmarketcap.com/currencies/kusama/,35.59
Balancer,BAL,https://coinmarketcap.com/currencies/balancer/,6.73
BinaryX,BNX,https://coinmarketcap.com/currencies/binaryx/,147.65
STEPN,GMT,https://coinmarketcap.com/currencies/green-metaverse-token/,0.49
Qtum,QTUM,https://coinmarketcap.com/currencies/qtum/,2.82
Theta Fuel,TFUEL,https://coinmarketcap.com/currencies/theta-fuel/,0.05
Ankr,ANKR,https://coinmarketcap.com/currencies/ankr/,0.03
Golem,GLM,https://coinmarketcap.com/currencies/golem-network-tokens/,0.27
